  n,     Ir,     Pd,     Pt,     Rh,     Ru,    act,   C**2,      l
139,0.43000,0.00000,0.57000,0.00000,0.00000,0.16524,0.00444,0.42925
139,0.11500,0.56500,0.00000,0.02500,0.29500,0.16457,0.00444,0.42925
140,0.43000,0.00000,0.57000,0.00000,0.00000,0.16527,0.00444,0.42767
140,0.12000,0.56500,0.00000,0.02000,0.29500,0.16484,0.00444,0.42767
141,0.43000,0.00000,0.57000,0.00000,0.00000,0.16524,0.00442,0.42696
141,0.12000,0.56500,0.00000,0.02000,0.29500,0.16490,0.00442,0.42696
142,0.43000,0.00000,0.57000,0.00000,0.00000,0.16524,0.00442,0.42690
142,0.12000,0.56500,0.00000,0.02000,0.29500,0.16491,0.00442,0.42690
143,0.42500,0.00000,0.57500,0.00000,0.00000,0.16519,0.00453,0.43177
143,0.12000,0.56500,0.00000,0.02000,0.29500,0.16488,0.00453,0.43177
144,0.42500,0.00000,0.57500,0.00000,0.00000,0.16513,0.00464,0.43516
144,0.11500,0.57000,0.00000,0.01500,0.30000,0.16487,0.00464,0.43516
145,0.42500,0.00000,0.57500,0.00000,0.00000,0.16512,0.00463,0.43570
145,0.11500,0.57000,0.00000,0.01500,0.30000,0.16487,0.00463,0.43570
146,0.42500,0.00000,0.57500,0.00000,0.00000,0.16512,0.00464,0.43614
146,0.11500,0.57000,0.00000,0.01500,0.30000,0.16485,0.00464,0.43614
147,0.42500,0.00000,0.57500,0.00000,0.00000,0.16512,0.00464,0.43622
147,0.11500,0.57000,0.00000,0.01500,0.30000,0.16485,0.00464,0.43622
148,0.42500,0.00000,0.57500,0.00000,0.00000,0.16512,0.00462,0.43638
148,0.11500,0.57000,0.00000,0.01500,0.30000,0.16487,0.00462,0.43638
149,0.42500,0.00000,0.57500,0.00000,0.00000,0.16512,0.00463,0.43596
149,0.11500,0.57000,0.00000,0.01500,0.30000,0.16498,0.00463,0.43596
