  n,     Ir,     Pd,     Pt,     Rh,     Ru,    act,   C**2,      l
 89,0.04500,0.53000,0.07500,0.00000,0.35000,0.15851,0.00285,0.43547
 90,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00949,0.00285,0.43637
 90,0.04500,0.53000,0.07500,0.00000,0.35000,0.15841,0.00285,0.43637
 91,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00972,0.00286,0.43707
 91,0.04500,0.53000,0.07500,0.00000,0.35000,0.15837,0.00286,0.43707
 92,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00943,0.00285,0.43656
 92,0.04500,0.53000,0.07500,0.00000,0.35000,0.15844,0.00285,0.43656
 93,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00950,0.00285,0.43613
 93,0.04500,0.53000,0.07500,0.00000,0.35000,0.15842,0.00285,0.43613
 94,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00952,0.00285,0.43620
 94,0.04500,0.53000,0.07500,0.00000,0.35000,0.15842,0.00285,0.43620
 95,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00954,0.00285,0.43630
 95,0.04500,0.53000,0.07500,0.00000,0.35000,0.15841,0.00285,0.43630
 96,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00936,0.00284,0.43464
 96,0.04500,0.53000,0.07500,0.00000,0.35000,0.15849,0.00284,0.43464
 97,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00936,0.00283,0.43461
 97,0.04500,0.53000,0.07500,0.00000,0.35000,0.15849,0.00283,0.43461
 98,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00933,0.00283,0.43387
 98,0.04500,0.53000,0.07500,0.00000,0.35000,0.15852,0.00283,0.43387
 99,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00928,0.00282,0.43246
 99,0.04500,0.53000,0.08000,0.00000,0.34500,0.15858,0.00282,0.43246
100,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00937,0.00282,0.43195
100,0.04500,0.53000,0.08000,0.00000,0.34500,0.15860,0.00282,0.43195
101,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00939,0.00282,0.43293
101,0.04500,0.53000,0.07500,0.00000,0.35000,0.15858,0.00282,0.43293
102,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00939,0.00282,0.43294
102,0.04500,0.53000,0.07500,0.00000,0.35000,0.15858,0.00282,0.43294
103,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00939,0.00282,0.43293
103,0.04500,0.53000,0.07500,0.00000,0.35000,0.15858,0.00282,0.43293
104,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00945,0.00282,0.43255
104,0.04500,0.53000,0.08000,0.00000,0.34500,0.15860,0.00282,0.43255
105,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00962,0.00282,0.43184
105,0.04500,0.53000,0.08000,0.00000,0.34500,0.15865,0.00282,0.43184
106,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00992,0.00282,0.43097
106,0.04500,0.53000,0.08000,0.00000,0.34500,0.15869,0.00282,0.43097
107,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00979,0.00282,0.43131
107,0.04500,0.53000,0.08000,0.00000,0.34500,0.15868,0.00282,0.43131
108,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00989,0.00282,0.43090
108,0.04500,0.53000,0.08000,0.00000,0.34500,0.15870,0.00282,0.43090
109,1.00000,0.00000,0.00000,0.00000,0.00000,-0.01008,0.00282,0.43054
109,0.04500,0.53000,0.08000,0.00000,0.34500,0.15873,0.00282,0.43054
110,1.00000,0.00000,0.00000,0.00000,0.00000,-0.01114,0.00283,0.42883
110,0.05000,0.52500,0.08000,0.00000,0.34500,0.15886,0.00283,0.42883
111,1.00000,0.00000,0.00000,0.00000,0.00000,-0.01091,0.00283,0.42923
111,0.05000,0.52500,0.08000,0.00000,0.34500,0.15885,0.00283,0.42923
112,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00962,0.00281,0.43032
112,0.04500,0.53000,0.08000,0.00000,0.34500,0.15874,0.00281,0.43032
113,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00959,0.00281,0.43074
113,0.04500,0.53000,0.08000,0.00000,0.34500,0.15872,0.00281,0.43074
114,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00958,0.00281,0.43144
114,0.04500,0.53000,0.08000,0.00000,0.34500,0.15869,0.00281,0.43144
115,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00976,0.00282,0.43386
115,0.04500,0.53000,0.07500,0.00000,0.35000,0.15863,0.00282,0.43386
116,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00979,0.00282,0.43362
116,0.04500,0.53000,0.07500,0.00000,0.35000,0.15865,0.00282,0.43362
117,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00982,0.00282,0.43359
117,0.04500,0.53000,0.07500,0.00000,0.35000,0.15866,0.00282,0.43359
118,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00952,0.00281,0.43382
118,0.04500,0.53000,0.07500,0.00000,0.35000,0.15862,0.00281,0.43382
119,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00958,0.00281,0.43403
119,0.04500,0.53000,0.07500,0.00000,0.35000,0.15861,0.00281,0.43403
120,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00957,0.00281,0.43398
120,0.04500,0.53000,0.07500,0.00000,0.35000,0.15861,0.00281,0.43398
121,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00959,0.00281,0.43405
121,0.04500,0.53000,0.07500,0.00000,0.35000,0.15861,0.00281,0.43405
122,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00941,0.00281,0.43337
122,0.04500,0.53000,0.07500,0.00000,0.35000,0.15864,0.00281,0.43337
123,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00917,0.00280,0.43262
123,0.04500,0.53000,0.07500,0.00000,0.35000,0.15866,0.00280,0.43262
