ID	Elements	Generation	Position	Velocity	F_damp	F_b_best	F_h_best	F_g_best	F_b_worst	F_h_worst	F_g_worst	mut_prob	flip_prob	mut_rate	v_max	Activity	Distance	v_min
3	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	7	[0.061 0.014 0.788 0.02  0.117]	[-0.031 -0.011 -0.044  0.051  0.035]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.1536764931257497	0.05	0.071
4	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	7	[0.077 0.012 0.766 0.058 0.087]	[-0.004  0.096  0.086 -0.027 -0.151]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.1439502331934518	0.073	0.071
0	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	8	[0.071 0.057 0.736 0.028 0.108]	[ 0.063  0.126 -0.13  -0.057 -0.002]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.13289648344668908	0.095	0.071
1	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	8	[0.082 0.024 0.771 0.023 0.1  ]	[ 0.038  0.129 -0.142 -0.037  0.012]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.1475065259654509	0.048	0.071
2	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	8	[0.067 0.007 0.748 0.039 0.139]	[-0.134  0.033 -0.045  0.008  0.138]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.14400051353652507	0.083	0.071
3	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	8	[0.074 0.08  0.698 0.025 0.123]	[ 0.009  0.075 -0.085  0.     0.001]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.12501193704776495	0.137	0.071
4	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	8	[0.133 0.066 0.667 0.046 0.088]	[ 0.026  0.024 -0.14  -0.043  0.132]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.1270221623686142	0.159	0.071
0	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	9	[0.027 0.029 0.773 0.073 0.098]	[-0.028 -0.006 -0.075  0.092  0.018]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.13846458242036838	0.111	0.071
1	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	9	[0.106 0.001 0.779 0.004 0.11 ]	[ 0.018 -0.037 -0.001  0.019  0.001]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.15626032778351326	0.024	0.071
2	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	9	[0.002 0.022 0.776 0.021 0.179]	[-0.052  0.043 -0.054 -0.     0.063]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.14332626379048133	0.132	0.071
3	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	9	[0.083 0.051 0.72  0.03  0.116]	[ 0.006  0.115 -0.156  0.045 -0.01 ]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.13250595752643504	0.102	0.071
4	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	9	[0.044 0.054 0.769 0.021 0.112]	[-0.058  0.127 -0.132  0.007  0.056]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.14003924546411037	0.087	0.071
0	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	10	[0.056 0.05  0.723 0.043 0.128]	[ 0.029  0.061 -0.072 -0.047  0.03 ]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.1312422058448993	0.114	0.071
1	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	10	[0.064 0.68  0.141 0.094 0.021]	[ 0.062  0.517 -0.459 -0.076 -0.044]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.014964724133691943	0.956	0.071
2	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	10	[0.156 0.042 0.721 0.011 0.07 ]	[ 0.148  0.013 -0.063  0.019 -0.117]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.1401260297948497	0.11	0.071
3	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	10	[0.085 0.052 0.679 0.071 0.113]	[ 0.001  0.087 -0.162  0.079 -0.004]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.12230282141926863	0.151	0.071
4	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	10	[0.125 0.052 0.758 0.04  0.025]	[ 0.078  0.077 -0.033  0.003 -0.125]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.13833117541392326	0.111	0.071
