	Ag	Ir	Pd	Pt	Ru	Activity
222	0.0	0.0	0.85	0.05	0.1	0.1509068072365562
223	0.0	0.0	0.85	0.1	0.05	0.14082523355289517
224	0.0	0.0	0.85	0.15	0.0	0.13071842579532225
225	0.0	0.0	0.9	0.0	0.1	0.16648978120344565
226	0.0	0.0	0.9	0.05	0.05	0.15625140771034468
227	0.0	0.0	0.9	0.1	0.0	0.14528614421529218
228	0.0	0.0	0.95	0.0	0.05	0.16978053277674512
229	0.0	0.0	0.95	0.05	0.0	0.15881576305685488
230	0.0	0.0	1.0	0.0	0.0	0.1700078638778269
231	0.0	0.05	0.0	0.0	0.95	0.007213286288871981
232	0.0	0.05	0.0	0.05	0.9	0.008096536104030647
233	0.0	0.05	0.0	0.1	0.85	0.01213788955452011
234	0.0	0.05	0.0	0.15	0.8	0.01870773978624246
235	0.0	0.05	0.0	0.2	0.75	0.026934350629065226
236	0.0	0.05	0.0	0.25	0.7	0.035844406463291
237	0.0	0.05	0.0	0.3	0.65	0.04449786661737187
238	0.0	0.05	0.0	0.35	0.6	0.05209051954329203
239	0.0	0.05	0.0	0.4	0.55	0.058013623016175034
240	0.0	0.05	0.0	0.45	0.5	0.06187645035734423
241	0.0	0.05	0.0	0.5	0.45	0.06350740655960152
242	0.0	0.05	0.0	0.55	0.4	0.06294919235956123
243	0.0	0.05	0.0	0.6	0.35	0.06045484874531639
244	0.0	0.05	0.0	0.65	0.3	0.05647994698286301
245	0.0	0.05	0.0	0.7	0.25	0.051658317513742946
246	0.0	0.05	0.0	0.75	0.2	0.046748987169826076
247	0.0	0.05	0.0	0.8	0.15	0.04255067449425787
248	0.0	0.05	0.0	0.85	0.1	0.039793401961425307
249	0.0	0.05	0.0	0.9	0.05	0.03902849301792022
250	0.0	0.05	0.0	0.95	0.0	0.040543086310797186
251	0.0	0.05	0.05	0.0	0.9	0.012733810790005698
252	0.0	0.05	0.05	0.05	0.85	0.01476874072335578
253	0.0	0.05	0.05	0.1	0.8	0.01928604040668097
254	0.0	0.05	0.05	0.15	0.75	0.025568082678284546
255	0.0	0.05	0.05	0.2	0.7	0.03276888822304791
256	0.0	0.05	0.05	0.25	0.65	0.04003976392294324
257	0.0	0.05	0.05	0.3	0.6	0.046628670834374816
258	0.0	0.05	0.05	0.35	0.55	0.051939859439696555
259	0.0	0.05	0.05	0.4	0.5	0.055557348758094635
260	0.0	0.05	0.05	0.45	0.45	0.057247694772868625
261	0.0	0.05	0.05	0.5	0.4	0.056959383673882424
262	0.0	0.05	0.05	0.55	0.35	0.05482828719092059
263	0.0	0.05	0.05	0.6	0.3	0.051185824976628734
264	0.0	0.05	0.05	0.65	0.25	0.04655584713343912
265	0.0	0.05	0.05	0.7	0.2	0.04162353009077813
266	0.0	0.05	0.05	0.75	0.15	0.037166541609799916
267	0.0	0.05	0.05	0.8	0.1	0.033952489925671514
268	0.0	0.05	0.05	0.85	0.05	0.03262119313648042
269	0.0	0.05	0.05	0.9	0.0	0.03357924312046598
270	0.0	0.05	0.1	0.0	0.85	0.020364320599433078
271	0.0	0.05	0.1	0.05	0.8	0.02274230279497888
272	0.0	0.05	0.1	0.1	0.75	0.02685191151923333
273	0.0	0.05	0.1	0.15	0.7	0.032008455564697835
274	0.0	0.05	0.1	0.2	0.65	0.037499213279411484
275	0.0	0.05	0.1	0.25	0.6	0.04267293731032594
276	0.0	0.05	0.1	0.3	0.55	0.04699350085560203
277	0.0	0.05	0.1	0.35	0.5	0.050059500459852406
278	0.0	0.05	0.1	0.4	0.45	0.05160493596902453
279	0.0	0.05	0.1	0.45	0.4	0.05149990756577983
280	0.0	0.05	0.1	0.5	0.35	0.04976340780486188
281	0.0	0.05	0.1	0.55	0.3	0.046586723390659
282	0.0	0.05	0.1	0.6	0.25	0.042352822944134616
283	0.0	0.05	0.1	0.65	0.2	0.037631189303734616
284	0.0	0.05	0.1	0.7	0.15	0.03313213513513974
285	0.0	0.05	0.1	0.75	0.1	0.029618069131413335
286	0.0	0.05	0.1	0.8	0.05	0.027785799344520107
287	0.0	0.05	0.1	0.85	0.0	0.028146767676827986
