	Ag	Ir	Pd	Pt	Ru	Activity
294	0.0	0.05	0.15	0.3	0.5	0.029306774276400084
295	0.0	0.05	0.15	0.35	0.45	0.03116069314062861
296	0.0	0.05	0.15	0.4	0.4	0.03413660367638323
297	0.0	0.05	0.15	0.45	0.35	0.03729876259332277
298	0.0	0.05	0.15	0.5	0.3	0.04024932792096554
299	0.0	0.05	0.15	0.55	0.25	0.04153894506995682
300	0.0	0.05	0.15	0.6	0.2	0.04217106586060558
301	0.0	0.05	0.15	0.65	0.15	0.03932091004090037
302	0.0	0.05	0.15	0.7	0.1	0.034213565937560045
303	0.0	0.05	0.15	0.75	0.05	0.028520715483541962
304	0.0	0.05	0.15	0.8	0.0	0.022087655355930488
305	0.0	0.05	0.2	0.0	0.75	0.04435727197199418
306	0.0	0.05	0.2	0.05	0.7	0.040184114065014355
307	0.0	0.05	0.2	0.1	0.65	0.03586876431425549
308	0.0	0.05	0.2	0.15	0.6	0.03293152367320685
309	0.0	0.05	0.2	0.2	0.55	0.03162233750965785
310	0.0	0.05	0.2	0.25	0.5	0.031141019650142165
311	0.0	0.05	0.2	0.3	0.45	0.03159042315104184
312	0.0	0.05	0.2	0.35	0.4	0.033196865659130784
313	0.0	0.05	0.2	0.4	0.35	0.03657411477165806
314	0.0	0.05	0.2	0.45	0.3	0.03791158864453042
315	0.0	0.05	0.2	0.5	0.25	0.03835863572586288
316	0.0	0.05	0.2	0.55	0.2	0.03784515647096904
317	0.0	0.05	0.2	0.6	0.15	0.035732138347982105
318	0.0	0.05	0.2	0.65	0.1	0.03130821294877802
319	0.0	0.05	0.2	0.7	0.05	0.025299628531044935
320	0.0	0.05	0.2	0.75	0.0	0.019048778313019762
321	0.0	0.05	0.25	0.0	0.7	0.051090515846101074
322	0.0	0.05	0.25	0.05	0.65	0.044362932621889
323	0.0	0.05	0.25	0.1	0.6	0.04202038602802183
324	0.0	0.05	0.25	0.15	0.55	0.03758554444431869
325	0.0	0.05	0.25	0.2	0.5	0.03668225914947066
326	0.0	0.05	0.25	0.25	0.45	0.034516974216167874
327	0.0	0.05	0.25	0.3	0.4	0.033931569590605
328	0.0	0.05	0.25	0.35	0.35	0.03622717585850342
329	0.0	0.05	0.25	0.4	0.3	0.03802613669243609
330	0.0	0.05	0.25	0.45	0.25	0.037375653516007586
331	0.0	0.05	0.25	0.5	0.2	0.03732760724974962
332	0.0	0.05	0.25	0.55	0.15	0.03444772010939654
333	0.0	0.05	0.25	0.6	0.1	0.03136304606479574
334	0.0	0.05	0.25	0.65	0.05	0.024784417349243443
335	0.0	0.05	0.25	0.7	0.0	0.01893594717457514
336	0.0	0.05	0.3	0.0	0.65	0.055635473172864346
337	0.0	0.05	0.3	0.05	0.6	0.05088029110456975
338	0.0	0.05	0.3	0.1	0.55	0.044120029516290404
339	0.0	0.05	0.3	0.15	0.5	0.041648897699026424
340	0.0	0.05	0.3	0.2	0.45	0.03813533579160677
341	0.0	0.05	0.3	0.25	0.4	0.036538883839544394
342	0.0	0.05	0.3	0.3	0.35	0.03872185118772619
343	0.0	0.05	0.3	0.35	0.3	0.03944960565628962
344	0.0	0.05	0.3	0.4	0.25	0.03864499109319339
345	0.0	0.05	0.3	0.45	0.2	0.03904097498509672
346	0.0	0.05	0.3	0.5	0.15	0.03644905437923578
347	0.0	0.05	0.3	0.55	0.1	0.03205050106326407
348	0.0	0.05	0.3	0.6	0.05	0.02646282159871025
349	0.0	0.05	0.3	0.65	0.0	0.02131032808946115
350	0.0	0.05	0.35	0.0	0.6	0.06089691472812592
351	0.0	0.05	0.35	0.05	0.55	0.05296446601343037
352	0.0	0.05	0.35	0.1	0.5	0.04812211663099731
353	0.0	0.05	0.35	0.15	0.45	0.045842509415000385
354	0.0	0.05	0.35	0.2	0.4	0.04317987022565035
355	0.0	0.05	0.35	0.25	0.35	0.042785306740186164
356	0.0	0.05	0.35	0.3	0.3	0.042880239117805474
357	0.0	0.05	0.35	0.35	0.25	0.043318910347028367
358	0.0	0.05	0.35	0.4	0.2	0.042736759208489454
359	0.0	0.05	0.35	0.45	0.15	0.039930766206820255
360	0.0	0.05	0.35	0.5	0.1	0.03529412835848929
361	0.0	0.05	0.35	0.55	0.05	0.031388221636760645
362	0.0	0.05	0.35	0.6	0.0	0.02636007913344324
363	0.0	0.05	0.4	0.0	0.55	0.0643334635418617
364	0.0	0.05	0.4	0.05	0.5	0.05769262774801254
365	0.0	0.05	0.4	0.1	0.45	0.0527023341003965
366	0.0	0.05	0.4	0.15	0.4	0.050664348262716034
367	0.0	0.05	0.4	0.2	0.35	0.049697045252264
368	0.0	0.05	0.4	0.25	0.3	0.048626603864838226
369	0.0	0.05	0.4	0.3	0.25	0.048302013826918476
370	0.0	0.05	0.4	0.35	0.2	0.04722189414381639
371	0.0	0.05	0.4	0.4	0.15	0.04483293129319431
372	0.0	0.05	0.4	0.45	0.1	0.04160059933913774
373	0.0	0.05	0.4	0.5	0.05	0.03833376906526149
374	0.0	0.05	0.4	0.55	0.0	0.034205951507488876
375	0.0	0.05	0.45	0.0	0.5	0.06954163255995095
376	0.0	0.05	0.45	0.05	0.45	0.0633674843664973
377	0.0	0.05	0.45	0.1	0.4	0.060927196791682285
378	0.0	0.05	0.45	0.15	0.35	0.05883098685650893
379	0.0	0.05	0.45	0.2	0.3	0.05720374104542812
380	0.0	0.05	0.45	0.25	0.25	0.05828275514256295
381	0.0	0.05	0.45	0.3	0.2	0.05677043238195579
382	0.0	0.05	0.45	0.35	0.15	0.0549480431617978
383	0.0	0.05	0.45	0.4	0.1	0.051047183120154424
384	0.0	0.05	0.45	0.45	0.05	0.0470211301224362
385	0.0	0.05	0.45	0.5	0.0	0.042792294750690005
386	0.0	0.05	0.5	0.0	0.45	0.073900852106202
387	0.0	0.05	0.5	0.05	0.4	0.07068046809896704
388	0.0	0.05	0.5	0.1	0.35	0.06875283885816835
389	0.0	0.05	0.5	0.15	0.3	0.06716975197502631
390	0.0	0.05	0.5	0.2	0.25	0.06823609318207821
391	0.0	0.05	0.5	0.25	0.2	0.0669916156541839
392	0.0	0.05	0.5	0.3	0.15	0.06421203265036302
393	0.0	0.05	0.5	0.35	0.1	0.061391285329185856
394	0.0	0.05	0.5	0.4	0.05	0.0584322929036417
395	0.0	0.05	0.5	0.45	0.0	0.05369093294378647
396	0.0	0.05	0.55	0.0	0.4	0.08080611808840397
397	0.0	0.05	0.55	0.05	0.35	0.07918444682463849
398	0.0	0.05	0.55	0.1	0.3	0.07724105652111016
399	0.0	0.05	0.55	0.15	0.25	0.07777441055773687
400	0.0	0.05	0.55	0.2	0.2	0.07565478728303525
401	0.0	0.05	0.55	0.25	0.15	0.07288339762955669
402	0.0	0.05	0.55	0.3	0.1	0.06943099364288792
403	0.0	0.05	0.55	0.35	0.05	0.0658850208675815
404	0.0	0.05	0.55	0.4	0.0	0.062197656687507895
