	Ag	Ir	Pd	Pt	Ru	Activity
180	0.0	0.0	0.55	0.2	0.25	-0.15096504714539538
181	0.0	0.0	0.55	0.25	0.2	-0.14386564241993505
182	0.0	0.0	0.55	0.3	0.15	-0.13304483295142205
183	0.0	0.0	0.55	0.35	0.1	-0.11957803034265013
184	0.0	0.0	0.55	0.4	0.05	-0.10496351430179501
185	0.0	0.0	0.55	0.45	0.0	-0.09088248106747664
186	0.0	0.0	0.6	0.0	0.4	-0.15235789420615875
187	0.0	0.0	0.6	0.05	0.35	-0.15541565017778713
188	0.0	0.0	0.6	0.1	0.3	-0.15511977436903163
189	0.0	0.0	0.6	0.15	0.25	-0.15103785758757504
190	0.0	0.0	0.6	0.2	0.2	-0.14316233699358785
191	0.0	0.0	0.6	0.25	0.15	-0.13196023222814557
192	0.0	0.0	0.6	0.3	0.1	-0.11836151740046924
193	0.0	0.0	0.6	0.35	0.05	-0.10367044566941729
194	0.0	0.0	0.6	0.4	0.0	-0.08939545092573936
195	0.0	0.0	0.65	0.0	0.35	-0.15577111164077426
196	0.0	0.0	0.65	0.05	0.3	-0.15407459451035946
197	0.0	0.0	0.65	0.1	0.25	-0.148926148602044
198	0.0	0.0	0.65	0.15	0.2	-0.140442584862513
199	0.0	0.0	0.65	0.2	0.15	-0.12910751312936788
200	0.0	0.0	0.65	0.25	0.1	-0.11574988712124208
201	0.0	0.0	0.65	0.3	0.05	-0.10148427365013771
202	0.0	0.0	0.65	0.35	0.0	-0.08760124890198946
203	0.0	0.0	0.7	0.0	0.3	-0.1509084140715902
204	0.0	0.0	0.7	0.05	0.25	-0.1450621055763521
205	0.0	0.0	0.7	0.1	0.2	-0.1363138790545288
206	0.0	0.0	0.7	0.15	0.15	-0.12519036194519
207	0.0	0.0	0.7	0.2	0.1	-0.11245599234669108
208	0.0	0.0	0.7	0.25	0.05	-0.09905982921341183
209	0.0	0.0	0.7	0.3	0.0	-0.08606786527565105
210	0.0	0.0	0.75	0.0	0.25	-0.13962812223573662
211	0.0	0.0	0.75	0.05	0.2	-0.13106867215847706
212	0.0	0.0	0.75	0.1	0.15	-0.12058870535241498
213	0.0	0.0	0.75	0.15	0.1	-0.10890044708229348
214	0.0	0.0	0.75	0.2	0.05	-0.09680665034876527
215	0.0	0.0	0.75	0.25	0.0	-0.08515699100228231
216	0.0	0.0	0.8	0.0	0.2	-0.12467889328082746
217	0.0	0.0	0.8	0.05	0.15	-0.11525373141130882
218	0.0	0.0	0.8	0.1	0.1	-0.10501967469101968
219	0.0	0.0	0.8	0.15	0.05	-0.09464059809015901
220	0.0	0.0	0.8	0.2	0.0	-0.08475726435898594
221	0.0	0.0	0.85	0.0	0.15	-0.10886815730462464
222	0.0	0.0	0.85	0.05	0.1	-0.1003502425639864
223	0.0	0.0	0.85	0.1	0.05	-0.09198694880293964
224	0.0	0.0	0.85	0.15	0.0	-0.08421854634959763
225	0.0	0.0	0.9	0.0	0.1	-0.09435851265727925
226	0.0	0.0	0.9	0.05	0.05	-0.08806543723981619
227	0.0	0.0	0.9	0.1	0.0	-0.08257015328877448
228	0.0	0.0	0.95	0.0	0.05	-0.08233353903102814
229	0.0	0.0	0.95	0.05	0.0	-0.07895492895792164
230	0.0	0.0	1.0	0.0	0.0	-0.07308542475396236
231	0.0	0.05	0.0	0.0	0.95	-0.03332810536844592
232	0.0	0.05	0.0	0.05	0.9	-0.023372050439614475
233	0.0	0.05	0.0	0.1	0.85	-0.015326814034805958
234	0.0	0.05	0.0	0.15	0.8	-0.00957390903882864
235	0.0	0.05	0.0	0.2	0.75	-0.0062052551262269245
236	0.0	0.05	0.0	0.25	0.7	-0.005081387880511268
237	0.0	0.05	0.0	0.3	0.65	-0.005946951442083695
238	0.0	0.05	0.0	0.35	0.6	-0.008549162655530074
239	0.0	0.05	0.0	0.4	0.55	-0.012702769287862695
240	0.0	0.05	0.0	0.45	0.5	-0.01827055860717086
241	0.0	0.05	0.0	0.5	0.45	-0.02507142616892745
242	0.0	0.05	0.0	0.55	0.4	-0.03276812491711134
